ZeitInSec,ZeitInNanoSec,axisQMsr_LBR_iiwa_7_R800_1[0],axisQMsr_LBR_iiwa_7_R800_1[1],axisQMsr_LBR_iiwa_7_R800_1[2],axisQMsr_LBR_iiwa_7_R800_1[3],axisQMsr_LBR_iiwa_7_R800_1[4],axisQMsr_LBR_iiwa_7_R800_1[5],axisQMsr_LBR_iiwa_7_R800_1[6],,,,,,,
1618435721,744000000,77.9448848,31.5862086,-47.6929451,16.6041322,-96.0678927,61.6996622,23.2954859,,,,,,,
1618435721,794000000,79.415034,32.1858012,-48.5923718,16.9159723,-97.8798513,62.8631761,23.734582,,,,,,,
1618435721,844000000,80.8875282,32.7826781,-49.4926602,17.2291273,-99.6915847,64.0276411,24.1736368,,,,,,,
1618435721,894000000,82.3565788,33.379713,-50.3930893,17.5427698,-101.503302,65.1904718,24.614247,,,,,,,
1618435721,944000000,83.8270198,33.9745711,-51.2924954,17.8551386,-103.315403,66.3553041,25.051956,,,,,,,
1618435721,994000000,85.298563,34.5691409,-52.1916474,18.1692205,-105.128993,67.5180662,25.4923807,,,,,,,
1618435722,44000000,86.7695396,35.1643493,-53.0915856,18.4833265,-106.940479,68.6834753,25.930543,,,,,,,
1618435722,94000000,88.237162,35.7591216,-53.9903188,18.795836,-108.75296,69.8463644,26.3708407,,,,,,,
1618435722,144000000,89.7079361,36.3553737,-54.8908887,19.1078649,-110.564946,71.0117392,26.8127657,,,,,,,
1618435722,194000000,91.181031,36.950558,-55.7909093,19.4219228,-112.377432,72.1749098,27.2506945,,,,,,,
1618435722,244000000,92.6504078,37.5468582,-56.6903256,19.7344118,-114.189451,73.3391928,27.6901751,,,,,,,
1618435722,294000000,94.1184525,38.1415103,-57.5892614,20.0477522,-116.000915,74.5023566,28.1288386,,,,,,,
1618435722,344000000,95.5891304,38.7381881,-58.4886468,20.3614496,-117.812989,75.6668559,28.5679415,,,,,,,
1618435722,394000000,97.0630356,39.3331699,-59.3893403,20.6761392,-119.624778,76.8306548,29.0102854,,,,,,,
1618435722,444000000,98.5304829,39.9302459,-60.2892064,20.9873922,-121.437231,77.9954322,29.4485369,,,,,,,
1618435722,494000000,100.000364,40.5245548,-61.1882692,21.3017488,-123.249321,79.1583659,29.8870219,,,,,,,
1618435722,544000000,101.471911,41.121648,-62.0875104,21.6141828,-125.061988,80.3237819,30.3264647,,,,,,,
1618435722,594000000,102.943863,41.7161079,-62.985938,21.9275404,-126.874084,81.4872306,30.7642321,,,,,,,
1618435722,644000000,104.411461,42.3132149,-63.8870058,22.2404001,-128.686625,82.6510364,31.2066516,,,,,,,
1618435722,694000000,105.882383,42.9079769,-64.787483,22.5549456,-130.498606,83.8155666,31.6436808,,,,,,,
